a,b,c,vf_max,n_cuts
3,3,3,0.124664,1
4,4,4,0.047042,3
4,3.333333333,3.333333333,0.047042,4
4,2.666666667,2.666666667,0.047042,5
4,2.5,2.5,0.047042,6
8,5.333333333,5.333333333,0.070855875,7
8,5,5,0.070855875,8
8,4,4,0.070855875,10
8,4.444444444,4.444444444,0.070855875,12
10,5,5,0.078375691,10
10,5.555555556,5.555555556,0.078375691,12
10,4,4,0.078375691,14
10,4.545454545,4.545454545,0.078375691,15
11,5.5,5.5,0.003759908,10
11,4.4,4.4,0.003759908,13
11,5,5,0.003759908,15
11,5.789473684,5.789473684,0.003759908,17
12,7.058823529,7.058823529,0.003759908,12
12,4,4,0.003759908,15
12,4.363636364,4.363636364,0.003759908,18
12,3.692307692,3.692307692,0.003759908,18
13,4,4,0.003759908,15
13,7.647058824,7.647058824,0.003759908,16
13,3.714285714,3.714285714,0.007519816,20
14,7,7,0.003759908,17
14,5.6,5.6,0.003759908,17
14,5.185185185,5.185185185,0.007519816,17
15,6.818181818,6.818181818,0.007519816,12
15,6.818181818,6.818181818,0.007519816,15
16,6.4,6.4,0.007519816,13
16,4.923076923,4.923076923,0.00752376,22
