a,n_cuts,b,vf_max,vox_inc,coat,t_coat,space,t_space,concave,depth,width
2,20,2,0.134042553,1,FALSE,2,FALSE,2,FALSE,0,0
3,20,4,0.134042553,1,FALSE,0,FALSE,2,FALSE,0,0
4,20,4,0.075886525,1,FALSE,0,FALSE,2,FALSE,0,0
4,20,4.5,0.075886525,1,FALSE,0,FALSE,2,FALSE,0,0
5,20,7,0.075886525,1,FALSE,0,FALSE,2,FALSE,0,0
5,20,8,0.075886525,1,FALSE,0,FALSE,2,FALSE,0,0
6,20,8.2,0.075886525,1,FALSE,2,FALSE,2,FALSE,0.2,3
6,20,9,0.075886525,1,FALSE,2,FALSE,2,FALSE,0.2,5
7,20,9.6,0.046099291,1,FALSE,2,FALSE,2,FALSE,0.2,5
7,20,13,0.046099291,1,FALSE,2,FALSE,2,FALSE,0.2,5
7,20,14,0.046099291,1,FALSE,2,FALSE,2,FALSE,0.2,5
8,20,14,0.045138889,1,FALSE,2,FALSE,2,FALSE,0.2,5
8,20,20,0.045138889,1,FALSE,2,FALSE,2,FALSE,0.2,5
8,20,24,0.048020095,1,FALSE,2,FALSE,2,FALSE,0.2,5
